Token_ID,Symbol,Series,Price_Band,Company_Name,ISIN,High_Price_Rs
10512,CONS,EQ,20,KOTAKMAMC - KOTAKCONS,INF174KA1JE5,116.98
11731,CONSOFINVT,EQ,20,CONSO. FIN. & HOLD. LTD.,INE025A01027,206.92
2435,CONSUMBEES,EQ,20,NIP IND ETF CONSUMPTION,INF204KA1LD7,127.0
28969,CONSUMER,EQ,20,MIRAEAMC - CONSUMER,INF769K01NS5,11.67
6446,CONSUMIETF,EQ,20,ICICIPRAMC - ICICICONSU,INF109KC1V42,118.5
17477,CONTROLPR,EQ,20,CONTROL PRINT LIMITED,INE663B01015,754.9
4007,CORALFINAC,EQ,20,CORAL INDIA FIN & HOUS LT,INE558D01021,46.49
15271,CORDSCABLE,EQ,20,CORDS CABLE INDUS LTD.,INE792I01017,199.9
739,COROMANDEL,EQ,20,COROMANDEL INTERNTL. LTD,INE169A01031,2308.6
20086,CPCAP,EQ,20,CP CAPITAL LIMITED,INE521J01018,176.99
2328,CPSEETF,EQ,20,CPSE ETF,INF457M01133,92.39
2854,CRAFTSMAN,EQ,20,CRAFTSMAN AUTOMATION LTD,INE00LO01017,5670.0
11155,CREATIVE,EQ,20,CREATIVE NEWTECH LIMITED,INE985W01018,710.25
4421,CREDITACC,EQ,20,CREDITACCESS GRAMEEN LTD,INE741K01010,1165.0
13900,CREST,EQ,20,CREST VENTURES LIMITED,INE559D01011,406.1
757,CRISIL,EQ,20,CRISIL LTD,INE007A01025,5299.0
14966,CSBBANK,EQ,20,CSB BANK LIMITED,INE679A01013,375.0
10350,CSLFINANCE,EQ,20,CSL FINANCE LIMITED,INE718F01018,342.45
5701,CUB,EQ,20,CITY UNION BANK LTD,INE491A01021,199.6
18520,CUPID,EQ,20,CUPID LIMITED,INE509F01029,109.45
